date,APMC,CommodityId,min_price,max_price,modal_price,arrivals_in_qtl
2016-09-01,Sinner,1,1401,1870,1689,543
2016-11-01,Sinner,1,1409,1772,1640,274
2015-04-01,Bhivandi,2,1513,1680,1597,408
2016-04-01,Bhivandi,2,1843,2235,2033,843
2015-08-01,Bhivandi,2,1840,2200,2020,441
2016-08-01,Bhivandi,2,2000,2800,2163,91000
2014-12-01,Bhivandi,2,1460,2080,1780,269
2015-12-01,Bhivandi,2,2021,2324,2186,419
2015-02-01,Bhivandi,2,1629,1843,1729,512
2016-02-01,Bhivandi,2,1929,2328,2138,874
2015-01-01,Bhivandi,2,1706,2069,1877,681
2016-01-01,Bhivandi,2,2027,2469,2244,1165
2015-07-01,Bhivandi,2,1600,1920,1760,4501
2016-07-01,Bhivandi,2,1990,2815,2350,79450
2016-06-01,Bhivandi,2,1897,2317,2179,103830
2015-03-01,Bhivandi,2,1400,1640,1520,339
2016-03-01,Bhivandi,2,1826,2249,2053,770
2015-05-01,Bhivandi,2,1575,1750,1663,371
2016-05-01,Bhivandi,2,1858,2231,2023,86860
2014-11-01,Bhivandi,2,1388,1838,1663,192
2015-11-01,Bhivandi,2,1913,2317,2100,116
2014-10-01,Bhivandi,2,1467,2067,1900,63
2015-10-01,Bhivandi,2,2017,2283,2150,159
2016-10-01,Bhivandi,2,1838,2431,1981,122200
2014-09-01,Bhivandi,2,1388,2145,1788,35
2015-09-01,Bhivandi,2,1892,2133,2025,436
2016-09-01,Bhivandi,2,1867,2700,2217,31000
2016-11-01,Bhivandi,2,1670,2180,1870,1294
2015-04-01,Bhokardan,2,1400,1430,1411,2135
2016-04-01,Bhokardan,2,1500,1592,1546,382
2015-08-01,Bhokardan,2,1425,1506,1472,924
2016-08-01,Bhokardan,2,1566,1652,1610,144
2014-12-01,Bhokardan,2,1550,1560,1555,1456
2015-12-01,Bhokardan,2,1550,1651,1598,605
2015-02-01,Bhokardan,2,1406,1450,1431,2659
2016-02-01,Bhokardan,2,1531,1638,1588,576
2015-01-01,Bhokardan,2,1539,1549,1544,1986
2016-01-01,Bhokardan,2,1543,1640,1590,868
2015-07-01,Bhokardan,2,1408,1460,1437,1228
2016-07-01,Bhokardan,2,1528,1602,1561,174
2015-06-01,Bhokardan,2,1400,1441,1424,2167
2016-06-01,Bhokardan,2,1494,1594,1551,264
2015-03-01,Bhokardan,2,1400,1420,1409,4046
2016-03-01,Bhokardan,2,1519,1600,1559,491
2015-05-01,Bhokardan,2,1400,1424,1411,2335
2016-05-01,Bhokardan,2,1493,1564,1529,322
2014-11-01,Bhokardan,2,1460,1477,1469,3544
2015-11-01,Bhokardan,2,1525,1586,1556,687
2014-10-01,Bhokardan,2,1425,1441,1433,1969
